aika,arvo
2018-04-16 15:08:15,6.3
2018-04-16 15:18:15,6.2
2018-04-16 15:28:16,6.1
2018-04-16 15:38:17,6
2018-04-16 15:48:18,5.9
2018-04-16 15:58:19,5.8
2018-04-16 16:08:20,5.7
2018-04-16 16:18:21,5.7
2018-04-16 16:28:22,7
2018-04-16 16:38:23,6.9
2018-04-16 16:48:23,6.8
2018-04-16 16:58:24,6.7
2018-04-16 17:08:25,6.7
2018-04-16 17:18:26,6.5
2018-04-16 17:28:28,6.5
2018-04-16 17:38:28,6.4
2018-04-16 17:48:29,6.3
2018-04-16 17:58:30,6.2
2018-04-16 18:08:31,6.1
2018-04-16 18:18:31,6
2018-04-16 18:28:33,5.9
2018-04-16 18:38:34,5.8
2018-04-16 18:48:35,5.7
2018-04-16 18:58:35,7.2
2018-04-16 19:08:36,7
2018-04-16 19:18:37,6.9
2018-04-16 19:28:37,6.8
2018-04-16 19:38:38,6.7
2018-04-16 19:48:41,6.7
2018-04-16 19:58:41,6.5
2018-04-16 20:08:42,6.5
2018-04-16 20:18:43,6.4
2018-04-16 20:28:44,6.3
2018-04-16 20:38:46,6.2
2018-04-16 20:48:47,6.1
2018-04-16 20:58:49,6
2018-04-16 21:08:49,5.9
2018-04-16 21:18:50,5.8
2018-04-16 21:28:51,5.7
2018-04-16 21:38:51,5.6
2018-04-16 21:48:52,7
2018-04-16 21:58:53,6.9
2018-04-16 22:08:54,6.8
2018-04-16 22:18:54,6.8
2018-04-16 22:28:55,6.7
2018-04-16 22:38:56,6.6
2018-04-16 22:48:57,6.5
2018-04-16 22:58:58,6.4
2018-04-16 23:08:58,6.3
2018-04-16 23:18:59,6.2
2018-04-16 23:29:01,6.1
2018-04-16 23:39:01,6.1
2018-04-16 23:49:02,6
2018-04-16 23:59:03,5.9
2018-04-17 00:09:04,5.8
2018-04-17 00:19:04,5.7
2018-04-17 00:29:05,7.1
2018-04-17 00:39:06,7
2018-04-17 00:49:07,6.9
2018-04-17 00:59:08,6.8
2018-04-17 01:09:08,6.7
2018-04-17 01:19:09,6.6
2018-04-17 01:29:11,6.5
2018-04-17 01:39:12,6.5
2018-04-17 01:49:13,6.4
2018-04-17 01:59:14,6.3
2018-04-17 02:09:15,6.2
2018-04-17 02:19:17,6.1
2018-04-17 02:29:17,6
2018-04-17 02:39:18,5.9
2018-04-17 02:49:19,5.8
2018-04-17 02:59:19,5.7
2018-04-17 03:09:21,7.1
2018-04-17 03:19:22,7
2018-04-17 03:29:23,6.9
2018-04-17 03:39:24,6.8
2018-04-17 03:49:24,6.8
2018-04-17 03:59:26,6.7
2018-04-17 04:09:27,6.6
2018-04-17 04:19:27,6.5
2018-04-17 04:29:29,6.4
2018-04-17 04:39:29,6.3
2018-04-17 04:49:30,6.2
2018-04-17 04:59:32,6.1
2018-04-17 05:09:32,6.1
2018-04-17 05:19:34,6
2018-04-17 05:29:34,5.9
2018-04-17 05:39:36,5.8
2018-04-17 05:49:36,5.7
2018-04-17 05:59:38,7.1
2018-04-17 06:09:38,7
2018-04-17 06:19:39,6.9
2018-04-17 06:29:40,6.8
2018-04-17 06:39:41,6.7
2018-04-17 06:49:42,6.7
2018-04-17 06:59:43,6.6
2018-04-17 07:09:45,6.5
2018-04-17 07:19:45,6.4
2018-04-17 07:29:47,6.3
2018-04-17 07:39:47,6.2
2018-04-17 07:49:49,6.1
2018-04-17 07:59:50,6
2018-04-17 08:09:52,5.9
2018-04-17 08:19:52,5.8
2018-04-17 08:29:53,5.8
2018-04-17 08:39:55,5.7
2018-04-17 08:49:56,7.1
2018-04-17 08:59:57,7
